reporting_start,reporting_end,campaign_name,delivery,results,result_indicator,reach,impressions,cost_per_result,amount_spent,end_date,frequency,link_clicks,button_clicks,comments,reactions,shares,engagement
1/4/18,1/4/18,Lead Gen,completed,67,actions:leadgen.other,20971,22622,9.623134328,502.905,1/7/18,1.078727767,435,0,,63,,506
1/5/18,1/5/18,Lead Gen,completed,38,actions:leadgen.other,21263,22858,16.78947368,497.64,1/7/18,1.075012933,392,0,,69,,471
1/6/18,1/6/18,Lead Gen,completed,24,actions:leadgen.other,17603,19192,22.1725,415.0692,1/7/18,1.090268704,297,0,,60,,367
1/7/18,1/7/18,Lead Gen,completed,45,actions:leadgen.other,16150,16933,11.63222222,408.291,1/7/18,1.048482972,296,0,,59,,362
12/20/17,12/20/17,Lead Gen,completed,25,actions:leadgen.other,8108,8836,11.8908,231.8706,1/7/18,1.089787864,140,0,,62,,209
1/3/18,1/3/18,Lead Gen,completed,26,actions:leadgen.other,10418,11457,10.36153846,210.132,1/7/18,1.099731234,152,0,,53,,207
1/10/18,1/10/18,Lead Gen,completed,12,actions:leadgen.other,7582,8073,17.77833333,166.4052,1/11/18,1.064758639,73,0,,33,1,109
1/6/18,1/6/18,Post,completed,241,actions:post_engagement,10586,12098,0.856514523,161.0076,1/8/18,1.142830153,45,18,1,167,7,241
1/7/18,1/7/18,Post,completed,219,actions:post_engagement,10530,12038,0.919863014,157.131,1/8/18,1.143209877,37,13,1,158,7,219
2/1/18,2/1/18,Lead Gen,recently_completed,30,actions:leadgen.other,6920,7340,6.680666667,156.3276,2/2/18,1.060693642,150,0,,25,,176
1/2/18,1/2/18,Traffic,completed,167,actions:link_click,15738,24020,1.176467066,153.2466,1/3/18,1.526242216,157,48,,54,1,222
1/2/18,1/2/18,Lead Gen,completed,13,actions:leadgen.other,8345,9325,14.78923077,149.9628,1/7/18,1.11743559,84,0,1,51,,138
